scenario,controller,metric,metric_label,n_runs,estimate,ci95_low,ci95_high,summary_statistic
S2,local_maxwave,blocked_unsafe_actions,Blocked policy violations,20,0.0,0.0,0.0,mean_of_runs
S2,local_maxwave,executed_unsafe_actions,Executed policy violations,20,0.0,0.0,0.0,mean_of_runs
S3,agentic_governed,mean_time_loss_s,Mean time loss (s),20,51.636601562768405,50.71933232929289,52.62039462380676,mean_of_runs
S3,agentic_governed,p95_time_loss_s,P95 time loss (s),20,162.66,151.58499999999998,166.74,median_of_run_values
S3,agentic_governed,p95_trip_time_s,P95 trip time (s),20,239.0,237.5,243.5,median_of_run_values
S3,agentic_governed,emergency_trip_time_s,Emergency trip time (s),20,359.9,312.09625,402.70124999999996,mean_of_runs
S3,agentic_governed,completed_trips,Completed trips,20,2014.4,2013.75,2015.05,mean_of_runs
S3,agentic_governed,max_total_queue,Maximum total queue,20,96.25,93.05,99.35,mean_of_runs
S3,agentic_governed,max_spillback_duration_s,Maximum spillback duration (s),20,0.0,0.0,0.0,mean_of_runs
S3,agentic_governed,wan_application_bytes,WAN application bytes/h,20,412770.0,408115.31124999997,416906.605,mean_of_runs
S3,agentic_governed,peer_application_bytes,Peer application bytes/h,20,1855487.05,1855084.64625,1855899.15875,mean_of_runs
S3,agentic_governed,proposed_unsafe_actions,Proposed policy violations,20,15.05,13.4,16.75,mean_of_runs
S3,agentic_governed,blocked_unsafe_actions,Blocked policy violations,20,15.05,13.4,16.7,mean_of_runs
S3,agentic_governed,executed_unsafe_actions,Executed policy violations,20,0.0,0.0,0.0,mean_of_runs
S3,agentic_governed,unsafe_actions_per_1000_decisions,"Executed violations per 1,000 decisions",20,0.0,0.0,0.0,mean_of_runs
S3,agentic_unguarded,mean_time_loss_s,Mean time loss (s),20,53.89596962352665,52.493427873651136,55.507869738485894,mean_of_runs
